Keyword,Search Volume (US),CPC (US),Categories,Commercial Potential,Filtering
oxygen absorbers,4400,$0.52,Home_Furnishings,2288,PASSED
crossbars for roof rack,8100,$0.28,Vehicles_&_Transportation,2268,PASSED
women swimsuit sale,3600,$0.63,Fashion,2268,PASSED
parker hydraulic,3600,$0.63,Tools_&_Hardware,2268,PASSED
hole in one golf,2900,$0.78,Sports_&_Recreation,2262,PASSED
notary public exam,2900,$0.78,Reference,2262,PASSED
fencing wrought iron,2900,$0.78,Home_Improvement,2262,PASSED
steel fence panels,2400,$0.94,Home_Improvement,2256,PASSED
miniature toy poodles,6600,$0.34,Animals,2244,PASSED
used tractor,6600,$0.34,Home_Improvement,2244,PASSED
pokemon cards value,74000,$0.03,Collectibles,2220,PASSED
latitude longitude,14800,$0.15,Geography,2220,PASSED
stirling engines,14800,$0.15,Science,2220,PASSED
custom nike,14800,$0.15,Clothing_&_Shoes,2220,PASSED
machine oil sewing,5400,$0.41,Tools_&_Hardware,2214,PASSED
fiberglass swimming pool,2400,$0.92,Home_Improvement,2208,PASSED
marine air conditioner,2900,$0.76,Home_Improvement,2204,PASSED
vinyl log siding,1900,$1.16,Home_Improvement,2204,PASSED
marine air conditioning,2900,$0.76,Home_Improvement,2204,PASSED
auto detailing supplies,4400,$0.50,Tools_&_Hardware,2200,PASSED
wella colour charts,4400,$0.50,Beauty_&_Fragrance,2200,PASSED
fly tying materials,4400,$0.50,Recreation,2200,PASSED
motorcycle ramps,8100,$0.27,Vehicles_&_Transportation,2187,PASSED
dichroic glass,8100,$0.27,Arts_&_Entertainment,2187,PASSED
phone cases motorola,6600,$0.33,Electronics,2178,PASSED
black hills gold,12100,$0.18,Beauty_&_Fragrance,2178,PASSED
hair jewelry,9900,$0.22,Jewelry_&_Watches,2178,PASSED
motorola phone cases,6600,$0.33,Electronics,2178,PASSED
electric boat motor,9900,$0.22,Vehicles_&_Transportation,2178,PASSED
mother poem,18100,$0.12,Arts_&_Entertainment,2172,PASSED
mini bikes for sale,18100,$0.12,Vehicles_&_Transportation,2172,PASSED
parkinson disease stages,18100,$0.12,Health_&_Wellness,2172,PASSED
mini bike for sale,18100,$0.12,Vehicles_&_Transportation,2172,PASSED
united states quiz,27100,$0.08,Reference,2168,PASSED
crochet blanket patterns,27100,$0.08,Home_Improvement,2168,PASSED
chevy transmission,1900,$1.14,Vehicles_&_Transportation,2166,PASSED
whitewall tires,5400,$0.40,Vehicles_&_Transportation,2160,PASSED
valve bodies,4400,$0.49,Home_Improvement,2156,PASSED
small pontoon boat sale,4400,$0.49,Vehicles_&_Transportation,2156,PASSED
hardcover books,4400,$0.49,Books_&_Literature,2156,PASSED
boy scouts merit badges,1000,$2.15,Business,2150,PASSED
dixieland jazz,1600,$1.34,Arts_&_Entertainment,2144,PASSED
marine battery charger,3600,$0.59,Vehicles_&_Transportation,2124,PASSED
used fridge for sale,6600,$0.32,Home_Furnishings,2112,PASSED
laminate floor cleaners,6600,$0.32,Home_Furnishings,2112,PASSED
girl scouts store,1600,$1.32,Social_Sciences_&_Humanities,2112,PASSED
butterfly gifts,4400,$0.48,Gifts,2112,PASSED
woodworking planes,6600,$0.32,Tools_&_Hardware,2112,PASSED
used rims near me,5400,$0.39,Vehicles_&_Transportation,2106,PASSED
steel fence posts,8100,$0.26,Home_Improvement,2106,PASSED
quarters us,5400,$0.39,Financial_Services,2106,PASSED
grass hula skirts,8100,$0.26,Arts_&_Entertainment,2106,PASSED
disco clothes,8100,$0.26,Clothing_&_Shoes,2106,PASSED
mirror televisions,8100,$0.26,Home_Furnishings,2106,PASSED
christmas boxes,8100,$0.26,Home_Furnishings,2106,PASSED
native american hallmarks,1600,$1.31,Arts_&_Entertainment,2096,PASSED
art restoration,2400,$0.87,Home_Improvement,2088,PASSED
canned foods,9900,$0.21,Food_&_Drinks,2079,PASSED
boot factory outlet,9900,$0.21,Clothing_&_Shoes,2079,PASSED
cowboy hat bands,9900,$0.21,Clothing_&_Shoes,2079,PASSED
orly nail polish,9900,$0.21,Beauty_&_Fragrance,2079,PASSED
silk fabrics,9900,$0.21,Clothing_&_Shoes,2079,PASSED
hip bursitis treatment,14800,$0.14,Health_&_Wellness,2072,PASSED
indian curry,14800,$0.14,Food_&_Drinks,2072,PASSED
st joseph statue,4400,$0.47,Arts_&_Entertainment,2068,PASSED
bearded dragon enclosures,12100,$0.17,Animals,2057,PASSED
diet mountain dew,12100,$0.17,Food_&_Drinks,2057,PASSED
best nonfiction books,12100,$0.17,Books_&_Literature,2057,PASSED
trinket boxes,12100,$0.17,Jewelry_&_Watches,2057,PASSED
corks for wine,5400,$0.38,Food_&_Drinks,2052,PASSED
senior exercise,3600,$0.57,Health_&_Wellness,2052,PASSED
miniature cocker spaniels,6600,$0.31,Animals,2046,PASSED
cars under 2000,6600,$0.31,Vehicles_&_Transportation,2046,PASSED
english labrador puppies,6600,$0.31,Animals,2046,PASSED
two row corn planter,1900,$1.07,Home_Improvement,2033,PASSED
western movies,40500,$0.05,Arts_&_Entertainment,2025,PASSED
costco trash can,8100,$0.25,Home_Kitchenware,2025,PASSED
furniture auctions near me,2400,$0.84,Home_Furnishings,2016,PASSED
chain link fence supplies,2900,$0.69,Home_Improvement,2001,PASSED
panties for sale,2900,$0.69,Clothing_&_Shoes,2001,PASSED
mrs prindables apples,5400,$0.37,Food_&_Drinks,1998,PASSED
hanging basket plants,5400,$0.37,Home_Improvement,1998,PASSED
insulation board,22200,$0.09,Home_Improvement,1998,PASSED
luxury rvs for sale,5400,$0.37,Vehicles_&_Transportation,1998,PASSED
restaurant table bases,880,$2.27,Home_Furnishings,1997.6,PASSED
tuna sandwich,18100,$0.11,Food_&_Drinks,1991,PASSED
freshwater fish,33100,$0.06,Animals,1986,PASSED
messages sympathy card,33100,$0.06,Reference,1986,PASSED
case international parts,9900,$0.20,Vehicles_&_Transportation,1980,PASSED
low glycemic foods,49500,$0.04,Food_&_Drinks,1980,PASSED
florida fishing license,49500,$0.04,Home_Furnishings,1980,PASSED
motorcycle hitch carrier,9900,$0.20,Vehicles_&_Transportation,1980,PASSED
uterine prolapse treatment,6600,$0.30,Health_&_Wellness,1980,PASSED
jerry garcia neck ties,6600,$0.30,Clothing_&_Shoes,1980,PASSED
big green egg accessories,9900,$0.20,Home_Improvement,1980,PASSED
car tow dollies,6600,$0.30,Vehicles_&_Transportation,1980,PASSED
volvo truck part,3600,$0.55, Vehicles_&_Transportation,1980,PASSED
crystal ornaments,3600,$0.55,Beauty_&_Fragrance,1980,PASSED
box end wrenches,6600,$0.30,Tools_&_Hardware,1980,PASSED
baseball umpire equipment,6600,$0.30,Sports_&_Recreation,1980,PASSED
cotton canvas bags,2400,$0.82,Home_Furnishings,1968,PASSED
pc software,880,$2.23,Computers_&_Computing,1962.4,PASSED
children christian book,1600,$1.22,Books_&_Literature,1952,PASSED
side view mirrors,5400,$0.36,Vehicles_&_Transportation,1944,PASSED
salvage yard parts,5400,$0.36,Tools_&_Hardware,1944,PASSED
needlepoint xmas stockings,8100,$0.24,Home_Furnishings,1944,PASSED
discount clubs golf,5400,$0.36,Sports_&_Recreation,1944,PASSED
eight o clock coffee,8100,$0.24,Food_&_Drinks,1944,PASSED
matheson tri gas,5400,$0.36,Business,1944,PASSED
panda kitchen,8100,$0.24,Food_&_Drinks,1944,PASSED
tire rims for sale,3600,$0.54,Vehicles_&_Transportation,1944,PASSED
barges for sale,2900,$0.67,Vehicles_&_Transportation,1943,PASSED
ethan allen bed,1900,$1.02,Home_Furnishings,1938,PASSED
plastic buckets,4400,$0.44,Home_Improvement,1936,PASSED
golf ball display cases,4400,$0.44,Home_Improvement,1936,PASSED
logitech steering wheel,12100,$0.16,Vehicles_&_Transportation,1936,PASSED
aluminum car trailers,4400,$0.44,Vehicles_&_Transportation,1936,PASSED
aluminum car trailer,4400,$0.44,Vehicles_&_Transportation,1936,PASSED
kitchen range hood filter,4400,$0.44,Home_Improvement,1936,PASSED
jostens class ring,14800,$0.13,Clothing_&_Shoes,1924,PASSED
ikea office chairs,14800,$0.13,Home_Furnishings,1924,PASSED
for sale pinball machines,14800,$0.13,Arts_&_Entertainment,1924,PASSED
wheel refinishing,1900,$1.01,Home_Improvement,1919,PASSED
master halco fence,590,$3.25,Home_Improvement,1917.5,PASSED
nautical flags,6600,$0.29,Arts_&_Entertainment,1914,PASSED
trucks toys,6600,$0.29,Toys,1914,PASSED
turkish furniture,2900,$0.66,Home_Furnishings,1914,PASSED
telephone entry system,260,$7.35,Business,1911,PASSED
truck utility beds,3600,$0.53,Vehicles_&_Transportation,1908,PASSED
sunflower oil,27100,$0.07,Food_&_Drinks,1897,PASSED
beanie babies value,27100,$0.07,Collectibles,1897,PASSED
nicholas sparks books,27100,$0.07,Books_&_Literature,1897,PASSED
easy biscuits recipe,27100,$0.07,Kitchen_&_Housewares,1897,PASSED
waterless shampoo,2400,$0.79,Beauty_&_Fragrance,1896,PASSED
almay makeup,5400,$0.35,Beauty_&_Fragrance,1890,PASSED
aquariums for sale,5400,$0.35,Home_Furnishings,1890,PASSED
rice cereal,9900,$0.19,Food_&_Drinks,1881,PASSED
automotive headliner,9900,$0.19,Vehicles_&_Transportation,1881,PASSED
sea doo boat,9900,$0.19,Vehicles_&_Transportation,1881,PASSED
purple martin houses,9900,$0.19,Home_Improvement,1881,PASSED
lochinvar water heater,3600,$0.52,Home_Furnishings,1872,PASSED
preway fireplace,1300,$1.44,Home_Improvement,1872,PASSED
bassett furniture outlet,2400,$0.78,Home_Furnishings,1872,PASSED
bulk flowers costco,8100,$0.23,Food_&_Drinks,1863,PASSED
acme thread,2900,$0.64,Tools_&_Hardware,1856,PASSED
hip replacement cost,1700,$1.09,Health_&_Wellness,1853,PASSED
food vending machines,2400,$0.77,Food_&_Drinks,1848,PASSED
little machine shop,6600,$0.28,Tools_&_Hardware,1848,PASSED
auto detailing products,4400,$0.42,Home_Improvement,1848,PASSED
26 inch rims,6600,$0.28,Vehicles_&_Transportation,1848,PASSED
clearance shoes,4400,$0.42,Clothing_&_Shoes,1848,PASSED
humidifiers costco,6600,$0.28,Home_Kitchen_&_Housewares,1848,PASSED
norwesco tank,1900,$0.97,Home_Improvement,1843,PASSED
hair extensions weaving,1900,$0.97,Beauty_&_Fragrance,1843,PASSED
old pottery,1900,$0.97,Home_Furnishings,1843,PASSED
brick pavers,5400,$0.34,Home_Improvement,1836,PASSED
air cylinders,3600,$0.51,Tools_&_Hardware,1836,PASSED
bucket trucks for sale,5400,$0.34,Vehicles_&_Transportation,1836,PASSED
harbor freight scaffold,3600,$0.51,Tools_&_Hardware,1836,PASSED
ice fishing houses,2900,$0.63,Home_Improvement,1827,PASSED
salon hair products,2400,$0.76,Beauty_&_Fragrance,1824,PASSED
dumbwaiter lift,2400,$0.76,Home_Improvement,1824,PASSED
garmin charging cable,1900,$0.96,Vehicles_&_Transportation,1824,PASSED
metal lathe lathes,12100,$0.15,Tools_&_Hardware,1815,PASSED
antique cars for sale,12100,$0.15,Vehicles_&_Transportation,1815,PASSED
hairstyles with bangs,60500,$0.03,Beauty_&_Fragrance,1815,PASSED
landscape bricks,12100,$0.15,Home_Improvement,1815,PASSED
terrier mix,18100,$0.10,Animals,1810,PASSED
wood screen door,18100,$0.10,Home_Improvement,1810,PASSED
lawn tractor snowblower,1300,$1.39,Home_Improvement,1807,PASSED
menards ceiling tiles,2900,$0.62,Home_Improvement,1798,PASSED
europe rail pass,6600,$0.27,Travel,1782.0000000000002,PASSED
computer memory ram,6600,$0.27,Electronics,1782.0000000000002,PASSED
cowboy shirts for men,6600,$0.27,Clothing_&_Shoes,1782.0000000000002,PASSED
frozen blueberries,5400,$0.33,Food_&_Drinks,1782,PASSED
swings for adults,8100,$0.22,Leisure_Time_Activities,1782,PASSED
cabinets for storage,5400,$0.33,Home_Furnishings,1782,PASSED
bostonian shoes,8100,$0.22,Clothing_&_Shoes,1782,PASSED
yard machine lawn mower,8100,$0.22,Home_Improvement,1782,PASSED
antique white paint,5400,$0.33,Home_Furnishings,1782,PASSED
back to basics,8100,$0.22,Home_Improvement,1782,PASSED
peri peri sauce,22200,$0.08,Food_&_Drinks,1776,PASSED
low carb pasta,22200,$0.08,Food_&_Drinks,1776,PASSED
cornbread salad,22200,$0.08,Food_&_Drinks,1776,PASSED
hard rock t shirts,590,$3.00,Clothing_&_Shoes,1770,PASSED
arrow board,1300,$1.36,Home_Furnishings,1768.0000000000002,PASSED
frozen bread,1900,$0.93,Food_&_Drinks,1767,PASSED
order girl scout cookies,4400,$0.40,Food_&_Drinks,1760,PASSED
ariens snowblower parts,4400,$0.40,Home_Improvement,1760,PASSED
global imports mini,1300,$1.35,Business,1755.0000000000002,PASSED
apollinaris water,480,$3.65,Food_&_Drinks,1752,PASSED
furniture couch sofa,1900,$0.92,Home_Furnishings,1748,PASSED
carolina furniture,2900,$0.60,Home_Furnishings,1740,PASSED
hunter ceiling fan remotes,5400,$0.32,Home_Improvement,1728,PASSED
mud pie wholesale,5400,$0.32,Food_&_Drinks,1728,PASSED
straps for handbags,5400,$0.32,Clothing_&_Shoes,1728,PASSED
sanita clogs,5400,$0.32,Clothing_&_Shoes,1728,PASSED
clogs sanita,5400,$0.32,Clothing_&_Shoes,1728,PASSED
brighton watches,3600,$0.48,Jewelry_&_Watches,1728,PASSED
used motors,1600,$1.08,Vehicles_&_Transportation,1728,PASSED
card place holders,4400,$0.39,Home_Furnishings,1716,PASSED
pc desktops,2900,$0.59,Electronics,1711,PASSED
cheap auto painting,2900,$0.59,Home_Improvement,1711,PASSED
amish built shed,2900,$0.59,Home_Improvement,1711,PASSED
pool winterizing kits,2400,$0.71,Home_Improvement,1704,PASSED
curated collection,480,$3.55,Arts_&_Entertainment,1704,PASSED
bra for car,8100,$0.21,Vehicles_&_Transportation,1701,PASSED
1964 quarter value,12100,$0.14,Financial_Services,1694.0000000000002,PASSED
adult three wheeled bicycle,12100,$0.14,Vehicles_&_Transportation,1694.0000000000002,PASSED
illinois fishing license,12100,$0.14,Government_&_Politics,1694.0000000000002,PASSED
diy spray foam kit,3600,$0.47,Home_Improvement,1692,PASSED
jaguar part,3600,$0.47,Vehicles_&_Transportation,1692,PASSED
jaguar parts,3600,$0.47,Vehicles_&_Transportation,1692,PASSED
food grade barrels,940,$1.80,Food_&_Drinks,1692,PASSED
cheap storm doors,1900,$0.89,Home_Improvement,1691,PASSED
headliner repair,6500,$0.26,Home_Improvement,1690,PASSED
h r giger artwork,9900,$0.17,Arts_&_Entertainment,1683.0000000000002,PASSED
concrete fencing posts,2900,$0.58,Home_Improvement,1681.9999999999998,PASSED
lds store online,2900,$0.58,Reference,1681.9999999999998,PASSED
brother products,1300,$1.29,Electronics,1677,PASSED
furman power conditioners,5400,$0.31,Home_Improvement,1674,PASSED
wall phones,5400,$0.31,Home_Furnishings,1674,PASSED
200 amp circuit breaker,4400,$0.38,Home_Improvement,1672,PASSED
coldwater creek sale,4400,$0.38,Clothing_&_Shoes,1672,PASSED
wholesale ice cream,1600,$1.04,Food_&_Drinks,1664,PASSED
shaft seals,1600,$1.04,Home_Improvement,1664,PASSED
lumber prices,33100,$0.05,Home_Improvement,1655,PASSED
happy meal toy,33100,$0.05,Toys,1655,PASSED
stihl parts chainsaw,6600,$0.25,Tools_&_Hardware,1650,PASSED
fabric building,1000,$1.65,Home_Improvement,1650,PASSED
christmas window lights,6600,$0.25,Home_Furnishings,1650,PASSED
silk screen,1600,$1.03,Arts_&_Entertainment,1648,PASSED
insulation machines,880,$1.86,Home_Improvement,1636.8000000000002,PASSED
matching shoes handbags,1900,$0.86,Clothing_&_Shoes,1634,PASSED
duck boats for sale,4400,$0.37,Vehicles_&_Transportation,1628,PASSED
duralast battery,14800,$0.11,Tools_&_Hardware,1628,PASSED
andersen storm door parts,4400,$0.37,Home_Improvement,1628,PASSED
sample thank you messages,14800,$0.11,Business,1628,PASSED
doll kachina,14800,$0.11,Arts_&_Entertainment,1628,PASSED
thyroid symptoms in women,27100,$0.06,Health_&_Wellness,1626,PASSED
charger plates bulk,5400,$0.30,Home_Furnishings,1620,PASSED
short bob hairstyles,40500,$0.04,Beauty_&_Fragrance,1620,PASSED
victorian furniture,5400,$0.30,Home_Furnishings,1620,PASSED
car body filler,5400,$0.30,Tools_&_Hardware,1620,PASSED
brazilian foods,40500,$0.04,Food_&_Drinks,1620,PASSED
parts for stihl,5400,$0.30,Tools_&_Hardware,1620,PASSED
replacement awning fabric,2400,$0.67,Home_Improvement,1608,PASSED
350 turbo transmission,2400,$0.67,Vehicles_&_Transportation,1608,PASSED
orchard grass hay,1900,$0.84,Food_&_Drinks,1596,PASSED
outboard motor covers,2900,$0.55,Home_Improvement,1595.0000000000002,PASSED
sarees silk saree,4400,$0.36,Clothing_&_Shoes,1584,PASSED
crochet afghan patterns,6600,$0.24,Home_Furnishings,1584,PASSED
scrap silver price,3600,$0.44,Financial_Services,1584,PASSED
norway spruce tree,3600,$0.44,Lawn_&_Garden,1584,PASSED
yagi antenna,9900,$0.16,Home_Improvement,1584,PASSED
electric 3 wheel scooter,9900,$0.16,Vehicles_&_Transportation,1584,PASSED
black rubber mulch,6600,$0.24,Home_Improvement,1584,PASSED
computer laptop screens,4400,$0.36,Electronics,1584,PASSED
espoma fertilizers,3600,$0.44,Home_Improvement,1584,PASSED
madeira thread,6600,$0.24,Clothing_&_Shoes,1584,PASSED
eurodrive sew,6600,$0.24,Vehicles_&_Transportation,1584,PASSED
signs of high cholesterol,9900,$0.16,Health_&_Wellness,1584,PASSED
frozen fruit,12100,$0.13,Food_&_Drinks,1573,PASSED
golf club regripping,5400,$0.29,Home_Improvement,1566,PASSED
history of catholic church,2900,$0.54,Social_Sciences&_Humanities,1566,PASSED
bourbon liquor,1900,$0.82,Food_&_Drinks,1558,PASSED
powdered sugar icing,22200,$0.07,Food_&_Drinks,1554.0000000000002,PASSED
vizsla puppies,22200,$0.07,Animals,1554.0000000000002,PASSED
popcorn balls,22200,$0.07,Food_&_Drinks,1554.0000000000002,PASSED
frozen orange juice,1600,$0.97,Food_&_Drinks,1552,PASSED
church supplies,3600,$0.43,Home_Improvement,1548,PASSED
plastic tubes,3600,$0.43,Home_Kitchen,1548,PASSED
church supply,3600,$0.43,Home_Improvement,1548,PASSED
90th birthday supplies,3600,$0.43,Home_Improvement,1548,PASSED
bush hog zero turn mowers,1300,$1.19,Home_Improvement,1547,PASSED
costco solar lights,4400,$0.35,Home_Furnishings,1540,PASSED
ceramic glaze,8100,$0.19,Home_Improvement,1539,PASSED
goddess costumes,8100,$0.19,Arts_&_Entertainment,1539,PASSED
aerosoles women shoes,1900,$0.81,Clothing_&_Shoes,1539,PASSED
plastic boat,2900,$0.53,Vehicles_&_Transportation,1537,PASSED
kirby vacuum parts,2400,$0.64,Home_Improvement,1536,PASSED
pillow boxes,1300,$1.17,Home_Furnishings,1521,PASSED
used pallet jacks,1600,$0.95,Tools_&_Hardware,1520,PASSED
british parts northwest,1600,$0.95,Vehicles_&_Transportation,1520,PASSED
porcelanosa tiles,1900,$0.80,Home_Improvement,1520,PASSED
climbing walls,6600,$0.23,Sports_&_Recreation,1518,PASSED
halloween candy on sale,6600,$0.23,Food_&_Drinks,1518,PASSED
luggage repair,6600,$0.23,Home_Furnishings,1518,PASSED
table saw sleds,6600,$0.23,Tools_&_Hardware,1518,PASSED
tylenol cold,6600,$0.23,Health_&_Wellness,1518,PASSED
ladies rockport shoes,6600,$0.23,Clothing_&_Shoes,1518,PASSED
merrell outlet,5400,$0.28,Clothing_&_Shoes,1512.0000000000002,PASSED
mexican jewelry,5400,$0.28,Jewelry_&_Watches,1512.0000000000002,PASSED
clearance christmas trees,5400,$0.28,Home_Improvement,1512.0000000000002,PASSED
crystal trees,5400,$0.28,Home_Furnishings,1512.0000000000002,PASSED
spandex fabrics,3600,$0.42,Clothing_&_Shoes,1512,PASSED
fireplace insert pellet,3600,$0.42,Home_Improvement,1512,PASSED
white temple dresses,2900,$0.52,Clothing_&_Shoes,1508,PASSED
upholstery staples,2900,$0.52,Home_Furnishings,1508,PASSED
square plastic tube,1300,$1.16,Home_Kitchen,1508,PASSED
fairway solitaire,1900,$0.79,Arts_&_Entertainment,1501,PASSED
really useful boxes,4400,$0.34,Home_Furnishings,1496,PASSED
vera bradley closeout,2400,$0.62,Clothing_&_Shoes,1488,PASSED
cheap screen doors,2400,$0.62,Home_Improvement,1488,PASSED
ldl cholesterol levels,9900,$0.15,Health_&_Wellness,1485,PASSED
galvanized pipe,14800,$0.10,Tools_&_Hardware,1480,PASSED
miniature bull terriers,14800,$0.10,Animals,1480,PASSED
sarees online,3600,$0.41,Clothing_&_Shoes,1476,PASSED
greek jewelry,3600,$0.41,Jewelry_&_Watches,1476,PASSED
headache cap,3600,$0.41,Health_&_Wellness,1476,PASSED
awning parts for rv,3600,$0.41,Home_Improvement,1476,PASSED
birds of north america,2400,$0.61,Reference,1464,PASSED
metal carports for sale,2400,$0.61,Home_Improvement,1464,PASSED
titan trailers,1900,$0.77,Vehicles_&_Transportation,1463,PASSED
home goods furniture,8100,$0.18,Home_Furnishings,1458,PASSED
imperial shih tzus,8100,$0.18,Animals,1458,PASSED
deviled eggs ingredients,8100,$0.18,Food_&_Drinks,1458,PASSED
international postage stamp,4400,$0.33,Reference,1452,PASSED
ford emblem,6600,$0.22,Vehicles_&_Transportation,1452,PASSED
portable a c units,6600,$0.22,Business,1452,PASSED
ltd commodities catalog,4400,$0.33,Books_&_Literature,1452,PASSED
bear proof garbage cans,6600,$0.22,Home_Improvement,1452,PASSED
car headliner repair,4400,$0.33,Home_Improvement,1452,PASSED
center wheel caps,6600,$0.22,Vehicles_&_Transportation,1452,PASSED
kellyco metal detector,2900,$0.50,Home_Improvement,1450,PASSED
security dvr,1000,$1.45,Home_Improvement,1450,PASSED
campania international,2900,$0.50,International,1450,PASSED
husky tools,18100,$0.08,Tools_&_Hardware,1448,PASSED
mccalls patterns,18100,$0.08,Clothing_&_Shoes,1448,PASSED
kitchen craft,1900,$0.76,Kitchen_&_Housewares,1444,PASSED
ice cream blue bunny,480,$3.00,Food_&_Drinks,1440,PASSED
badge buddy,4400,$0.32,Toys,1408,PASSED
american standard faucets,4400,$0.32,Home_Improvement,1408,PASSED
watercolor palettes,4400,$0.32,Arts_&_Entertainment,1408,PASSED
cherrybrook pet supply,1900,$0.74,Animals,1406,PASSED
wood plaques,5400,$0.26,Home_Furnishings,1404,PASSED
outboard motor 25hp,3600,$0.39,Vehicles_&_Transportation,1404,PASSED
hallmark keepsake ornaments,5400,$0.26,Arts_&_Entertainment,1404,PASSED
mechanic tool boxes,3600,$0.39,Tools_&_Hardware,1404,PASSED
vinyl albums for sale,5400,$0.26,Home_Improvement,1404,PASSED
blackinton badges,2400,$0.58,Jewelry_&_Watches,1392,PASSED
race car wraps,1300,$1.07,Vehicles_&_Transportation,1391,PASSED
fiber drums,880,$1.58,Home_Furnishings,1390.4,PASSED
calculus practice problems,1900,$0.73,Books_&_Literature,1387,PASSED
250 honda rebel,9900,$0.14,Vehicles_&_Transportation,1386.0000000000002,PASSED
airstream bambi,9900,$0.14,Vehicles_&_Transportation,1386.0000000000002,PASSED
new balance factory store,9900,$0.14,Clothing_&_Shoes,1386.0000000000002,PASSED
crawl space door,6600,$0.21,Home_Improvement,1386,PASSED
spa pedicure chair,1300,$1.06,Beauty_&_Fragrance,1378,PASSED
ferry across lake michigan,8100,$0.17,Travel,1377,PASSED
cottage house plans,8100,$0.17,Home_Furnishings,1377,PASSED
lifetime picnic tables,8100,$0.17,Home_Improvement,1377,PASSED
red rose tea,8100,$0.17,Food_&_Drinks,1377,PASSED
snake skins,8100,$0.17,Beauty_&_Fragrance,1377,PASSED
church hats for ladies,8100,$0.17,Fashion,1377,PASSED
fabric cotton fabric,8100,$0.17,Home_Furnishings,1377,PASSED
maple sugar,8100,$0.17,Food_&_Drinks,1377,PASSED
stair climber machines,8100,$0.17,Fitness & Exercise,1377,PASSED
dehydrated foods,3600,$0.38,Food_&_Drinks,1368,PASSED
lifepo4 battery charger,2400,$0.57,Electronics,1367.9999999999998,PASSED
receipt organizer,2400,$0.57,Home_Kitchen_&_Housewares,1367.9999999999998,PASSED
tv stands cabinets,2400,$0.57,Home_Furnishings,1367.9999999999998,PASSED
vw beetle engine,2400,$0.57,Vehicles_&_Transportation,1367.9999999999998,PASSED
mcgard wheel locks,4400,$0.31,Vehicles_&_Transportation,1364,PASSED
silk mens underwear,4400,$0.31,Clothing_&_Shoes,1364,PASSED
kubota lawn tractor,4400,$0.31,Home_Improvement,1364,PASSED
fountain pen ink,4400,$0.31,Office_Products,1364,PASSED
panera bread gift card,2900,$0.47,Food_&_Drinks,1363,PASSED
autozone batteries,27100,$0.05,Tools_&_Hardware,1355,PASSED
childrens spanish books,5400,$0.25,Books_&_Literature,1350,PASSED
strings bow,5400,$0.25,Arts_&_Entertainment,1350,PASSED
vera bradley lunch bag,5400,$0.25,Clothing_&_Shoes,1350,PASSED
goodwill auctions,135000,$0.01,Financial_Services,1350,PASSED
vinyl paint,5400,$0.25,Home_Improvement,1350,PASSED
wheel vintiques,5400,$0.25,Home_Improvement,1350,PASSED
pilot headsets,2400,$0.56,Vehicles_&_Transportation,1344.0000000000002,PASSED
pre owned mini cooper,1600,$0.84,Vehicles_&_Transportation,1344,PASSED
handyman magazine,1300,$1.03,Home_Improvement,1339,PASSED
retractable cable reels,1300,$1.03,Home_Improvement,1339,PASSED
mann lake bee supplies,2900,$0.46,Home_Improvement,1334,PASSED
hampton farm peanuts,3600,$0.37,Food_&_Drinks,1332,PASSED
1970 camaro,22200,$0.06,Vehicles_&_Transportation,1332,PASSED
replacement purse straps,3600,$0.37,Clothing_&_Shoes,1332,PASSED
fruit of earth aloe vera,3600,$0.37,Health_&_Wellness,1332,PASSED
progresso soup,22200,$0.06,Food_&_Drinks,1332,PASSED
hotel key cards,720,$1.85,Travel,1332,PASSED
easy steak marinades,12100,$0.11,Food_&_Drinks,1331,PASSED
garage apt floor plans,12100,$0.11,Home_Improvement,1331,PASSED
whole grains,33100,$0.04,Food_&_Drinks,1324,PASSED
arche shoes,4400,$0.30,Clothing_&_Shoes,1320,PASSED
comfortable bicycle seat,4400,$0.30,Vehicles_&_Transportation,1320,PASSED
metal posts,4400,$0.30,Home_Improvement,1320,PASSED
used electric bicycle,6600,$0.20,Vehicles_&_Transportation,1320,PASSED
wooden pens,4400,$0.30,Office_Products,1320,PASSED
the living bible,4400,$0.30,Religious Books,1320,PASSED
diy baby shower decorations,2100,$0.62,Home_Improvement,1302,PASSED
grief books,5400,$0.24,Books_&_Literature,1296,PASSED
barn house plans,8100,$0.16,Home_Improvement,1296,PASSED
isolating transformer,3600,$0.36,Science,1296,PASSED
yamaha golf carts parts,3600,$0.36,Vehicles_&_Transportation,1296,PASSED
japanese plants,3600,$0.36,Lawn_&_Garden,1296,PASSED
succulent varieties,8100,$0.16,Home_Furnishings,1296,PASSED
cell phone wallets,3600,$0.36,Electronics,1296,PASSED
garage door opener parts,3600,$0.36,Home_Improvement,1296,PASSED
current postage rates,5400,$0.24,Reference,1296,PASSED
red wing boots for men,9900,$0.13,Clothing_&_Shoes,1287,PASSED
sidecar for motorcycle,9900,$0.13,Vehicles_&_Transportation,1287,PASSED
frozen meatballs,9900,$0.13,Food_&_Drinks,1287,PASSED
welded wire fencing,9900,$0.13,Home_Improvement,1287,PASSED
smallest pellet stove,9900,$0.13,Home_Improvement,1287,PASSED
timber truss,1600,$0.80,Home_Improvement,1280,PASSED
lakeshore learning toys,4400,$0.29,Toys,1276,PASSED
funny golf headcovers,4400,$0.29,Home_Improvement,1276,PASSED
arborist supplies,2400,$0.53,Tools_&_Hardware,1272,PASSED
